,Date,Time,Open,High,Low,Close,ma,ema
139,02/10/2020,10:33,1.17062,1.17094,1.17058,1.17092,1.1392672142857139,1.1395894285714285
140,13/10/2020,11:40,1.17472,1.17475,1.17463,1.17465,1.1395188652482264,1.1383281560283682
141,22/10/2020,12:36,1.18219,1.18221,1.18207,1.18213,1.139819507042253,1.140084647887324
142,02/11/2020,12:19,1.16317,1.16318,1.16306,1.16308,1.1399828671328667,1.1389418881118876
143,11/11/2020,12:44,1.17696,1.17705,1.17696,1.17705,1.1402402777777774,1.1404054166666668
144,20/11/2020,13:35,1.18567,1.18567,1.18561,1.18564,1.140553586206896,1.1394675172413786
145,02/12/2020,09:30,1.2072,1.20729,1.20701,1.20712,1.1410106849315065,1.141025479452055
146,11/12/2020,10:27,1.21251,1.2126,1.21235,1.21242,1.1414976870748297,1.1403902721088428
147,22/12/2020,11:13,1.21772,1.21774,1.21738,1.21751,1.1420128378378374,1.1419927027027028
148,03/01/2021,17:00,1.22396,1.22396,1.22373,1.22395,1.1425628187919459,1.1414285234899322
149,12/01/2021,17:40,1.22026,1.22033,1.22023,1.22025,1.1430812666666663,1.1430856
150,21/01/2021,18:49,1.21653,1.21659,1.21653,1.21658,1.1435680794701981,1.1424735761589397
151,01/02/2021,19:31,1.20632,1.20642,1.20632,1.20642,1.143981578947368,1.1440527631578947
152,10/02/2021,20:40,1.2117,1.21171,1.2114,1.2114,1.1444242483660128,1.1433094771241823
153,21/02/2021,22:01,1.21196,1.21199,1.21195,1.21195,1.1448629870129865,1.1449314285714285
154,02/03/2021,22:46,1.20829,1.20836,1.20829,1.20836,1.14527264516129,1.1441956774193542
155,11/03/2021,23:43,1.19661,1.19662,1.1965,1.19652,1.1456017948717945,1.1457446153846154
156,22/03/2021,23:28,1.19289,1.19289,1.19281,1.19281,1.145902993630573,1.144863503184713
157,01/04/2021,02:47,1.17232,1.17243,1.17232,1.17239,1.146070886075949,1.1463413924050632
158,12/04/2021,04:55,1.18851,1.18863,1.18841,1.18857,1.146338553459119,1.1452102515723266
159,21/04/2021,07:25,1.20058,1.20075,1.20058,1.20075,1.1466786249999994,1.1468699999999998
160,30/04/2021,09:39,1.20838,1.20853,1.20838,1.20842,1.1470627950310555,1.1459001863354032
161,11/05/2021,12:26,1.21647,1.2165,1.2163,1.2163,1.1474914197530859,1.147631234567901
162,20/05/2021,14:25,1.222,1.22205,1.22199,1.222,1.1479488343558277,1.146766441717791
163,01/06/2021,11:35,1.22414,1.22434,1.22411,1.22434,1.148414634146341,1.1485387804878044
164,10/06/2021,14:27,1.21737,1.2174,1.21734,1.21734,1.1488327272727268,1.1477067272727268
165,21/06/2021,16:13,1.19175,1.19186,1.19175,1.19177,1.149091927710843,1.1493684337349395
166,30/06/2021,17:29,1.18561,1.18563,1.18561,1.18561,1.1493107185628737,1.1482355089820355
167,11/07/2021,19:07,1.18741,1.18747,1.1874,1.18745,1.1495378571428565,1.1498001190476188
168,20/07/2021,20:35,1.17809,1.1781,1.17804,1.17804,1.149706863905325,1.1486998224852067
169,29/07/2021,22:15,1.18798,1.18807,1.18796,1.18801,1.1499325294117642,1.1501330588235292
170,10/08/2021,01:10,1.17379,1.17379,1.17375,1.17375,1.1500720467836252,1.1491602923976605
171,19/08/2021,04:04,1.16804,1.16833,1.16802,1.16833,1.150178197674418,1.1504081395348835
172,30/08/2021,07:17,1.17928,1.17929,1.17922,1.17929,1.1503464739884388,1.1493819075144505
173,08/09/2021,10:07,1.18147,1.1819,1.18142,1.1815,1.1505278160919536,1.1507401149425285
174,17/09/2021,12:41,1.17319,1.17324,1.1731,1.17312,1.1506575999999995,1.1497535428571424
175,28/09/2021,14:31,1.16765,1.16768,1.16762,1.16765,1.1507543181818176,1.1509957954545451
176,07/10/2021,15:55,1.15535,1.15535,1.15523,1.15523,1.1507802824858753,1.149956101694915
177,18/10/2021,18:02,1.16124,1.16129,1.16124,1.16129,1.150839325842696,1.1510447191011233
178,27/10/2021,20:33,1.15921,1.15931,1.15921,1.15928,1.1508866480446922,1.1500827374301672
179,07/11/2021,20:45,1.15577,1.15577,1.1557,1.15576,1.1509137777777774,1.1511365555555553
180,16/11/2021,21:34,1.13213,1.13218,1.13213,1.13217,1.1508102762430934,1.150145580110497
181,25/11/2021,22:20,1.1221,1.1221,1.12205,1.12205,1.150652527472527,1.1509282417582414
182,06/12/2021,22:39,1.12905,1.12909,1.12905,1.12909,1.1505346994535512,1.149839071038251
183,15/12/2021,23:56,1.12888,1.12888,1.12881,1.12886,1.1504170108695646,1.150690869565217
184,27/12/2021,01:11,1.13143,1.13143,1.13142,1.13143,1.1503143783783778,1.149612486486486
