Date,Time,Open,High,Low,Close
01/18/2014,17:00,1.36122,1.36204,1.35163,1.35403
01/19/2014,17:00,1.35364,1.35374,1.35069,1.35259
01/20/2014,17:00,1.35262,1.35672,1.35259,1.3542
01/21/2014,17:00,1.35421,1.35794,1.35156,1.35622
01/22/2014,17:00,1.35614,1.35828,1.35296,1.35439
01/23/2014,17:00,1.35438,1.36973,1.3537,1.36849
01/24/2014,17:00,1.3685,1.37387,1.36619,1.36767
01/25/2014,17:00,1.3685,1.37387,1.36619,1.36767
01/26/2014,17:00,1.36777,1.36899,1.36746,1.36812
01/27/2014,17:00,1.36814,1.37159,1.36526,1.36774
01/28/2014,17:00,1.36772,1.36877,1.36285,1.36512
01/29/2014,17:00,1.36514,1.3684,1.36022,1.36478
01/30/2014,17:00,1.36477,1.36561,1.35425,1.35489
01/31/2014,17:00,1.35492,1.35727,1.34783,1.34862
02/01/2014,17:00,1.35492,1.35727,1.34783,1.34862
02/02/2014,17:00,1.34837,1.34947,1.34791,1.34829
02/03/2014,17:00,1.3483,1.35347,1.34763,1.35072
02/04/2014,17:00,1.35071,1.3538,1.34927,1.35119
02/05/2014,17:00,1.35122,1.35543,1.34981,1.35218
02/06/2014,17:00,1.35219,1.36182,1.34817,1.35898
02/07/2014,17:00,1.35899,1.36425,1.35512,1.36352
02/08/2014,17:00,1.35899,1.36425,1.35512,1.36352
02/09/2014,17:00,1.36158,1.36297,1.36155,1.36224
02/10/2014,17:00,1.36223,1.3678,1.36196,1.36669
02/11/2014,17:00,1.36672,1.36822,1.36249,1.36283
02/12/2014,17:00,1.36284,1.36519,1.35614,1.36119
02/13/2014,17:00,1.3612,1.3691,1.36068,1.36807
02/14/2014,17:00,1.36805,1.3714,1.36747,1.36922
02/15/2014,17:00,1.36805,1.3714,1.36747,1.36922
02/16/2014,17:00,1.37081,1.37235,1.36945,1.37087
02/17/2014,17:00,1.37086,1.37182,1.36913,1.37121
02/18/2014,17:00,1.37122,1.37725,1.37009,1.37637
02/19/2014,17:00,1.37636,1.37668,1.37237,1.37549
02/20/2014,17:00,1.37551,1.37618,1.36848,1.37163
02/21/2014,17:00,1.37164,1.37578,1.37011,1.37382
02/22/2014,17:00,1.37164,1.37578,1.37011,1.37382
02/23/2014,17:00,1.37343,1.37418,1.37277,1.37366
02/24/2014,17:00,1.37365,1.37707,1.37076,1.37339
02/25/2014,17:00,1.3734,1.37663,1.37148,1.37387
02/26/2014,17:00,1.37388,1.37566,1.36609,1.36858
02/27/2014,17:00,1.36859,1.3726,1.36425,1.36997
02/28/2014,17:00,1.36994,1.38239,1.36934,1.38017
03/01/2014,17:00,1.36994,1.38239,1.36934,1.38017
03/02/2014,17:00,1.37592,1.37876,1.37562,1.37786
